"Name","Description__c","Detail_Description__c","External_Description__c","External_Id__c","Sirono_Id__c","Unmapped__c"
"Pharmacy","Pharmacy","General Classification","Pharmacy","630","309.0","false"
"Pharmacy","Pharmacy","Single Source Drug","Pharmacy","631","310.0","false"
"Pharmacy","Pharmacy","Multiple Source Drug","Pharmacy","632","311.0","false"
"Pharmacy","Pharmacy","Restrictive Prescription","Pharmacy","633","312.0","false"
"Pharmacy","Pharmacy","Erythropoietin (EPO) < 10","Pharmacy","634","313.0","false"
"Pharmacy","Pharmacy","Erythropoietin (EPO) > 10","Pharmacy","635","314.0","false"
"Pharmacy","Pharmacy","Drugs Requiring Detailed Coding","Pharmacy","636","315.0","false"
"Pharmacy","Pharmacy","Self Administered Drugs","Pharmacy","637","316.0","false"
"Home IV Therapy Services","Home IV Therapy Services","General Classification","Home IV Therapy Services","640","317.0","false"
"Home IV Therapy Services","Home IV Therapy Services","Nonroutine Nursing","Home IV Therapy Services","641","318.0","false"
"Home IV Therapy Services","Home IV Therapy Services","IV Site Care","Home IV Therapy Services","642","319.0","false"
"Home IV Therapy Services","Home IV Therapy Services","IV Start/Change","Home IV Therapy Services","643","320.0","false"
"Home IV Therapy Services","Home IV Therapy Services","Nonroutine Nursing","Home IV Therapy Services","644","321.0","false"
"Home IV Therapy Services","Home IV Therapy Services","Training","Home IV Therapy Services","645","322.0","false"
"Home IV Therapy Services","Home IV Therapy Services","Training","Home IV Therapy Services","646","323.0","false"
"Home IV Therapy Services","Home IV Therapy Services","Training","Home IV Therapy Services","647","324.0","false"
"Home IV Therapy Services","Home IV Therapy Services","Training","Home IV Therapy Services","648","325.0","false"
"Home IV Therapy Services","Home IV Therapy Services","Other IV Therapy Services","Home IV Therapy Services","649","326.0","false"
"Hospice Services","Hospice Services","General","Hospice Services","650","327.0","false"
"Hospice Services","Hospice Services","Routine Home Care","Hospice Services","651","328.0","false"
"Hospice Services","Hospice Services","Continuous Home Care","Hospice Services","652","329.0","false"
"Hospice Services","Hospice Services","Inpatient Respite Care","Hospice Services","655","330.0","false"
"Hospice Services","Hospice Services","General Inpatient Care","Hospice Services","656","331.0","false"
"Hospice Services","Hospice Services","Physician Service","Hospice Services","657","332.0","false"
"Hospice Services","Hospice Services","Other Hospice","Hospice Services","659","333.0","false"
"Respite Care","Respite Care","General Classification","Respite Care","660","334.0","false"
"Respite Care","Respite Care","Hourly Charge/Skilled Nursing","Respite Care","661","335.0","false"
"Respite Care","Respite Care","Hourly Charge/Home Health Aide","Respite Care","662","336.0","false"
"Outpatient Special Residence Charges","Outpatient Special Residence Charges","General","Outpatient Special Residence Charges","670","337.0","false"
"Outpatient Special Residence Charges","Outpatient Special Residence Charges","Hospital Based","Outpatient Special Residence Charges","671","338.0","false"
"Outpatient Special Residence Charges","Outpatient Special Residence Charges","Contracted","Outpatient Special Residence Charges","672","339.0","false"
"Outpatient Special Residence Charges","Outpatient Special Residence Charges","Other Special Residence Charges","Outpatient Special Residence Charges","679","340.0","false"
"Trauma","Trauma","Trauma Consult","Trauma","681","341.0","false"
"Cast Room","Cast Room","General","Cast Room","700","342.0","false"
"Cast Room","Cast Room","Other Cast Room","Cast Room","709","343.0","false"
"Recovery Room","Recovery Room","General","Recovery Room","710","344.0","false"
"Recovery Room","Recovery Room","Other Recovery Room","Recovery Room","719","345.0","false"
"Labor & Delivery","Labor & Delivery","General","Labor & Delivery","720","346.0","false"
"Labor & Delivery","Labor & Delivery","Labor","Labor & Delivery","721","347.0","false"
"Labor & Delivery","Labor & Delivery","Delivery","Labor & Delivery","722","348.0","false"
"Labor & Delivery","Labor & Delivery","Circumcision","Labor & Delivery","723","349.0","false"
"Labor & Delivery","Labor & Delivery","Birthing Center","Labor & Delivery","724","350.0","false"
"Labor & Delivery","Labor & Delivery","False Labor","Labor & Delivery","729","351.0","false"
"EKG/ECG (Electrocardiogram)","EKG/ECG (Electrocardiogram)","General","EKG/ECG (Electrocardiogram)","730","352.0","false"
"EKG/ECG (Electrocardiogram)","EKG/ECG (Electrocardiogram)","Holter Monitor","EKG/ECG (Electrocardiogram)","731","353.0","false"
"EKG/ECG (Electrocardiogram)","EKG/ECG (Electrocardiogram)","Telemetry","EKG/ECG (Electrocardiogram)","732","354.0","false"
"EKG/ECG (Electrocardiogram)","EKG/ECG (Electrocardiogram)","Computerized EKG/ECG","EKG/ECG (Electrocardiogram)","739","355.0","false"
"EEG (Electroencephalogram)","EEG (Electroencephalogram)","General","EEG (Electroencephalogram)","740","356.0","false"
"EEG (Electroencephalogram)","EEG (Electroencephalogram)","Electronystogmography","EEG (Electroencephalogram)","741","357.0","false"
"EEG (Electroencephalogram)","EEG (Electroencephalogram)","Diagnostic Sleep Disorder","EEG (Electroencephalogram)","742","358.0","false"
"EEG (Electroencephalogram)","EEG (Electroencephalogram)","Other EEG","EEG (Electroencephalogram)","749","359.0","false"
"Gastro-Intestinal Services","Gastro-Intestinal Services","General","Gastro-Intestinal Services","750","360.0","false"
"Gastro-Intestinal Services","Gastro-Intestinal Services","Other Gastro-Intestinal","Gastro-Intestinal Services","759","361.0","false"
"Observation or Treatment Room","Observation or Treatment Room","General","Observation or Treatment Room","760","362.0","false"
"Observation or Treatment Room","Observation or Treatment Room","Treatment Room","Observation or Treatment Room","761","363.0","false"
"Observation or Treatment Room","Observation or Treatment Room","Observation Room","Observation or Treatment Room","762","364.0","false"
"Observation or Treatment Room","Observation or Treatment Room","Other Treatment Room","Observation or Treatment Room","769","365.0","false"
"Preventive Care Services","Preventive Care Services","General Classification","Preventive Care Services","770","366.0","false"
"Preventive Care Services","Preventive Care Services","Vaccine Administration","Preventive Care Services","771","367.0","false"
"Preventive Care Services","Preventive Care Services","Other","Preventive Care Services","779","368.0","false"
"Lithotripsy","Lithotripsy","General","Lithotripsy","790","369.0","false"
"Lithotripsy","Lithotripsy","Other Lithotripsy","Lithotripsy","799","370.0","false"
"Renal Dialysis","Renal Dialysis","General","Renal Dialysis","800","371.0","false"
"Renal Dialysis","Renal Dialysis","Inpatient Hemodialysis","Renal Dialysis","801","372.0","false"
"Renal Dialysis","Renal Dialysis","Inpatient Peritoneal (Non-CAPD)","Renal Dialysis","802","373.0","false"
"Renal Dialysis","Renal Dialysis","Inpatient Continuous Ambulatory Peritoneal Dialysis (CAPD)","Renal Dialysis","803","374.0","false"
"Renal Dialysis","Renal Dialysis","Inpatient Continuous Cycling Peritoneal Dialysis","Renal Dialysis","804","375.0","false"
"Renal Dialysis","Renal Dialysis","Other Inpatient Dialysis","Renal Dialysis","809","376.0","false"
"Organ Acquisition","Organ Acquisition","General","Organ Acquisition","810","377.0","false"
"Organ Acquisition","Organ Acquisition","Living Donor","Organ Acquisition","811","378.0","false"
"Organ Acquisition","Organ Acquisition","Cadaver Donor","Organ Acquisition","812","379.0","false"
"Organ Acquisition","Organ Acquisition","Unknown Donor","Organ Acquisition","813","380.0","false"
"Organ Acquisition","Organ Acquisition","Unsuccessful Organ Search-Donor Bank Charges","Organ Acquisition","814","381.0","false"
"Organ Acquisition","Organ Acquisition","Other","Organ Acquisition","819","382.0","false"
"Hemodialysis","Hemodialysis","General","Hemodialysis","820","383.0","false"
"Hemodialysis","Hemodialysis","Hemodialysis/Composite or Other Rate","Hemodialysis","821","384.0","false"
"Hemodialysis","Hemodialysis","Home Supplies","Hemodialysis","822","385.0","false"
"Hemodialysis","Hemodialysis","Home Equipment","Hemodialysis","823","386.0","false"
"Hemodialysis","Hemodialysis","Maintenance","Hemodialysis","824","387.0","false"
"Hemodialysis","Hemodialysis","Support Services","Hemodialysis","825","388.0","false"
"Hemodialysis","Hemodialysis","Other Outpatient Hemodialysis","Hemodialysis","829","389.0","false"
"Peritoneal Dialysis","Peritoneal Dialysis","General","Peritoneal Dialysis","830","390.0","false"
"Peritoneal Dialysis","Peritoneal Dialysis","Peritoneal/Composite or Other Rate","Peritoneal Dialysis","831","391.0","false"
"Peritoneal Dialysis","Peritoneal Dialysis","Home Supplies","Peritoneal Dialysis","832","392.0","false"
"Peritoneal Dialysis","Peritoneal Dialysis","Home Equipment","Peritoneal Dialysis","833","393.0","false"
"Peritoneal Dialysis","Peritoneal Dialysis","Maintenance","Peritoneal Dialysis","834","394.0","false"
"Peritoneal Dialysis","Peritoneal Dialysis","Support Services","Peritoneal Dialysis","835","395.0","false"
