FILE_NAME   TARGET_OBJECT   EXTERNAL_ID
Account.csv Account External_Account_Name__c
Adjustment.csv   Adjustment__c   Aggregate_Id__c
Charge_Group_Coverage_Junction.csv   Charge_Group_Coverage_Junction__c   Sirono_Id__c
Charge_Group.csv Charge_Group__c Sirono_Id__c
Contact_ExternalGuarantor.csv   Contact External_Guarantor_Id__c
Contact_Guarantor.csv   Contact Guarantor_Id__c
Contact_Notes.csv   Contact Guarantor_Id__c
Contact_Patient.csv Contact Patient_Id__c
Coverage.csv Coverage__c Sirono_Id__c
Invoice.csv  Invoice__c  Sirono_Id__c
Location.csv Location__c Sirono_Id__c
Patient_Coverage_Junction__c.csv    Patient_Coverage_Junction__c    Sirono_Id__c
Payment_Guarantor.csv   Payment__c  Sirono_Id__c
Payment_Method.csv   Payment__c  Sirono_Id__c
Payment_Payor.csv   Payment__c  Id__c
Payment_Plan.csv Payment_Plan__c Sirono_Id__c
Payor.csv    Payor__c    Unique_Id__c
Provider.csv Provider__c Sirono_Id__c
Service.csv Service2__c Aggregate_Id__c
Service_Rollup.csv   Service_Rollup__c   Sirono_Id__c
Statement.csv    Statement__c    Sirono_Id__c
Transaction_Adjustment.csv  Transaction__c  Sirono_Id__c
Transaction_Payment.csv Transaction__c  Sirono_Id__c
Transaction_Service.csv Transaction__c  Sirono_Id__c
